"","Site","Site.Age","Forest.Type"
"1",1,196,"WS"
"2",1.1,83,"BS"
"3",1.2,93,"WS"
"4",1.3,158,"WS"
"5",2,35,"D"
"6",2.1,140,"BS"
"7",2.2,170,"WS"
"8",3,185,"D"
"9",3.1,128,"BS"
"10",3.2,174,"BS"
"11",3.3,60,"BS"
"12",4,85,"D"
"13",4.1,48,"D"
"14",4.2,60,"D"
"15",4.3,71,"D"
"16",4.4,58,"D"
"17",5,5,"recent fire"
"18",5.5,85,"BS"
"19",5.6,92,"BS"
"20",6,52,"WS"
"21",6.1,77,"D"
"22",6.2,90,"D"
"23",6.3,87,"D"
"24",6.4,89,"D"
"25",7,177,"WS"
"26",7.1,85,"D"
"27",7.2,80,"D"
"28",7.5,102,"BS"
"29",7.6,114,"BS"
"30",8,19,"Early recovery"
"31",9,76,"BS"
"32",9.2,73,"D"
"33",9.3,78,"D"
"34",9.4,122,"D"
"35",9.5,67,"D"
"36",9.6,114,"D"
"37",10,32,"Early recovery"
"38",11,199,"BS"
"39",11.1,80,"D"
"40",11.2,99,"D"
"41",11.3,45,"BS"
"42",11.4,54,"WS"
"43",12,60,"D"
"44",13,76,"D"
"45",13.1,85,"D"
"46",13.2,85,"D"
"47",14,15,"Early recovery"
"48",14.1,87,"BS"
"49",14.2,134,"BS"
"50",14.3,65,"BS"
"51",14.4,136,"BS"
"52",14.5,134,"WS"
"53",14.6,81,"BS"
"54",15,47,"D"
"55",15.1,78,"BS"
"56",15.2,83,"BS"
"57",15.3,85,"BS"
"58",15.4,75,"BS"
"59",15.5,80,"BS"
"60",15.6,83,"BS"
"61",16,3,"recent fire"
"62",16.1,118,"WS"
"63",16.2,100,"D"
"64",16.3,106,"D"
"65",16.4,68,"D"
"66",16.5,138,"D"
"67",16.6,68,"WS"
"68",17,16,"Early recovery"
"69",17.1,176,"D"
"70",17.2,69,"D"
"71",17.3,118,"D"
"72",17.4,136,"D"
"73",17.5,148,"D"
"74",17.6,72,"D"
"75",18,8,"recent fire"
"76",18.1,125,"BS"
"77",18.2,175,"BS"
"78",19,60,"BS"
"79",20,14,"Early recovery"
"80",20.1,75,"BS"
"81",20.2,63,"BS"
"82",20.3,73,"BS"
"83",21.1,73,"BS"
"84",21.2,106,"WS"
"85",22.1,60,"D"
"86",22.2,70,"WS"
"87",22.3,50,"D"
"88",23.2,83,"D"
"89",23.3,76,"D"
"90",24.1,83,"WS"
"91",24.2,142,"D"
"92",24.3,134,"WS"
"93",25.1,75,"WS"
"94",25.2,94,"D"
"95",25.3,140,"D"
"96",27.1,84,"BS"
"97",27.2,66,"BS"
"98",27.3,85,"BS"
"99",29.1,65,"WS"
"100",29.2,52,"D"
"101",29.3,52,"WS"
"102",29.4,105,"D"
