Site name,Forest Type,NDVI,Site Age,Dec NDVI,WS NDVI,BS NDVI,Frac dec,LAI
1,WS,0.70363,196,,0.70363,,0.205710103,1.79
1.1,BS,0.62381,83,,,0.62381,0,0.71
1.2,WS,0.6582,93,,0.6582,,0.397590361,1.86
1.3,WS,0.62658,158,,0.62658,,0.264847512,0.6
2,D,0.84675,35,0.84675,,,0.997641509,4.24
2.1,BS,0.70113,140,,,0.70113,0,1.03
2.2,WS,0.79225,170,,0.79225,,0.265060241,1
3,D,0.80335,185,0.80335,,,0.496659243,2.71
3.1,BS,0.72137,128,,,0.72137,0.241093621,0.58
3.2,BS,0.71609,174,,,0.71609,0,0.54
3.3,BS,0.73776,60,,,0.73776,0,0.69
4,D,0.81206,85,0.81206,,,0.645321944,3.27
4.1,D,0.81991,48,0.81991,,,0.970760234,2.07
4.2,D,0.80988,60,0.80988,,,0.94513321,1.4
4.3,D,0.82545,71,0.82545,,,1,1.54
4.4,D,0.82967,58,0.82967,,,0.833333333,1.87
5,D,0.67394,5,0.67394,,,0.935718877,1.1
5.5,BS,0.63534,85,,,0.63534,0.015235972,0.75
5.6,BS,0.61289,92,,,0.61289,0,1.34
6,WS,0.72128,52,,0.72128,,0.384141647,2.18
6.1,D,0.79188,77,0.79188,,,0.912782584,4.74
6.2,D,0.79856,90,0.79856,,,0.93442623,4.05
6.3,D,0.79476,87,0.79476,,,0.94490818,4.14
6.4,D,0.8438,89,0.8438,,,1,3.72
7,WS,0.62773,177,,0.62773,,0.257018813,
7.1,D,0.85649,85,0.85649,,,1,2.5
7.2,D,0.77327,80,0.77327,,,0.936452917,1.91
7.5,BS,0.65441,102,,,0.65441,0,
7.6,BS,0.65441,114,,,0.65441,0,1.6
8,D,0.72301,19,0.72301,,,1,1.95
9,BS,0.64108,76,,,0.64108,0.070422535,1.74
9.2,D,0.83333,73,0.83333,,,0.615740741,2.93
9.3,D,0.81197,78,0.81197,,,0.809368192,2.73
9.4,D,0.78788,122,0.78788,,,1,1.79
9.5,D,0.791,67,0.791,,,0.984375,2.19
9.6,D,0.81698,114,0.81698,,,0.970106352,2.44
10,D,0.6994,32,0.6994,,,0.714285714,2.19
11,BS,0.68079,201,,,0.68079,0,0.97
11.1,D,0.77144,80,0.77144,,,0.934054339,0.82
11.2,D,0.76251,99,0.76251,,,0.870911554,2.27
11.3,BS,0.70328,45,,,0.70328,0,0.26
11.4,WS,0.7413,54,,0.7413,,0,0.88
12,D,0.75762,60,0.75762,,,0.552631579,2.78
13,D,0.8292,76,0.8292,,,0.989492341,4.05
13.1,D,0.79227,85,0.79227,,,0.975766049,3.03
13.2,D,0.79134,85,0.79134,,,0.990514286,3.34
14,D,0.71869,15,0.71869,,,0.942408377,1
14.1,BS,0.65754,87,,,0.65754,0.001876003,0.78
14.2,BS,0.67838,134,,,0.67838,0.068965517,0.92
14.3,BS,0.66144,65,,,0.66144,0.177147919,0.77
14.4,BS,0.6747,136,,,0.6747,0.38410596,1.72
14.5,WS,0.70778,134,,0.70778,,0.291666667,1.19
14.6,BS,0.69374,81,,,0.69374,0.203944608,1.21
15,D,0.79188,47,0.79188,,,0.667779633,1.19
15.1,BS,0.72306,78,,,0.72306,0,
15.2,BS,0.65355,83,,,0.65355,0,1.5
15.3,BS,0.64189,85,,,0.64189,0,0.81
15.4,BS,0.682112105,75,,,0.682112105,0,0.98
15.5,BS,0.67429,80,,,0.67429,0,1.11
15.6,BS,0.6802,83,,,0.6802,0,0.88
16,D,0.60373,3,0.60373,,,0.018404908,0.64
16.1,WS,0.80771,118,,0.80771,,0.489437667,2.24
16.2,D,0.79819,100,0.79819,,,0.530944625,2.8
16.3,D,0.70804,106,0.70804,,,0.518531112,0.9
16.4,D,0.67996,68,0.67996,,,0.652884295,1.35
16.5,D,0.77586,138,0.77586,,,0.514562824,1.11
16.6,WS,0.71703,68,,0.71703,,0.199279712,0.96
17,D,0.64333,16,0.64333,,,0.965250965,0.56
17.1,D,0.77262,176,0.77262,,,0.988654339,0.67
17.2,D,0.80222,69,0.80222,,,0.892156863,0.67
17.3,D,0.80633,118,0.80633,,,0.875298903,0.83
17.4,D,0.80291,136,0.80291,,,0.936964196,1.56
17.5,D,0.80794,148,0.80794,,,0.826425521,0.9
17.6,D,0.80151,72,0.80151,,,0.927413501,1.15
18,D,0.51861,8,0.51861,,,0.942307692,0.53
18.1,BS,0.67164,125,,,0.67164,0,0.42
18.2,BS,0.69135,175,,,0.69135,0,0.4
19,BS,0.7544,60,,,0.7544,0.214056368,1.02
20,D,0.75084,14,0.75084,,,0.924046787,
20.1,BS,0.75631,75,,,0.75631,0,0.71
20.2,BS,0.69211,63,,,0.69211,0,1.03
20.3,BS,0.6404,73,,,0.6404,0,0.82
21.1,BS,0.63294,73,,,0.63294,0,0.57
21.2,WS,0.76026,106,,0.76026,,0.462365591,1.55
22.1,D,0.82725,60,0.82725,,,0.78870674,1.02
22.2,WS,0.82622,70,,0.82622,,0.15015015,1.67
22.3,D,0.84583,50,0.84583,,,1,1.78
23.2,D,0.75837,83,0.75837,,,0.566123188,1.54
23.3,D,0.81407,76,0.81407,,,0.610510046,1.6
24.1,WS,0.68558,83,,0.68558,,0.122402505,2.2
24.2,D,0.76636,142,0.76636,,,0.712571257,3.01
24.3,WS,0.6744,134,,0.6744,,0.447252053,2.09
25.1,WS,0.7677,75,,0.7677,,0.310559006,1.78
25.2,D,0.7904,94,0.7904,,,0.96099844,1.8
25.3,D,0.78839,140,0.78839,,,0.8,2.03
27.1,BS,0.75932,84,,,0.75932,0.287828947,3.83
27.2,BS,0.7559,66,,,0.7559,0.183823529,0.73
27.3,BS,0.76477,85,,,0.76477,0.465549348,1.26
29.1,WS,0.73551,65,,0.73551,,0,1.66
29.2,D,0.82987,52,0.82987,,,1,2.91
29.3,WS,0.80783,52,,0.80783,,0.418910152,1.5
29.4,D,0.7939,105,0.7939,,,0.5,1.04
